Temp,Humd,Label
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
24,23,1
